benchmark_id,candidate_id,function,num_losses,mean_best_hard_val_loss,std_best_hard_val_loss,mean_final_hard_val_loss,mean_epochs_trained,status
eggholder_pilot_k5_l3_v2_candidate_0015_20260511_102855,0015,eggholder,3,48420.65625,3275.518448796863,48795.463541666664,87.0,ok
eggholder_pilot_k5_l3_v2_candidate_0011_20260511_101014,0011,eggholder,3,48647.782552083336,11503.409905877903,49182.377604166664,73.0,ok
eggholder_pilot_k5_l3_v2_candidate_0020_20260511_105352,0020,eggholder,3,48948.705729166664,15077.065511481787,49097.734375,93.66666666666667,ok
eggholder_pilot_k5_v3_candidate_0003_20260510_135859,0003,eggholder,4,49010.026041666664,3579.926073691785,49243.0,74.66666666666667,ok
eggholder_pilot_k5_v2_candidate_0006_20260510_105302,0006,eggholder,4,49019.375,3621.554717288212,49228.2578125,75.66666666666667,ok
eggholder_llm_k5_l4_canonical_v1_candidate_0014_20260513_094957,0014,eggholder,4,49155.98828125,4162.788221293484,49753.33203125,73.33333333333333,ok
eggholder_pilot_k5_v2_candidate_0007_20260510_105736,0007,eggholder,4,49417.162760416664,10501.264047460469,49572.412760416664,89.33333333333333,ok
eggholder_pilot_k5_l3_v2_candidate_0009_20260511_095938,0009,eggholder,3,50016.434895833336,13897.56930071418,50993.156901041664,65.66666666666667,ok
eggholder_pilot_k5_v3_candidate_0001_20260510_134915,0001,eggholder,4,50097.184895833336,4637.01467992818,50294.3828125,84.66666666666667,ok
eggholder_pilot_k5_v3_candidate_0008_20260510_142214,0008,eggholder,4,50603.091145833336,8006.1912150964845,51019.01171875,80.66666666666667,ok
eggholder_pilot_k5_v3_candidate_0005_20260510_140756,0005,eggholder,4,51269.71484375,4765.036371963946,51427.78515625,87.33333333333333,ok
eggholder_pilot_k5_l3_v1_candidate_0001_20260510_145020,0001,eggholder,3,51598.049479166664,9411.2404769718,52717.395833333336,72.0,ok
eggholder_pilot_k5_v2_candidate_0003_20260510_104311,0003,eggholder,4,51984.677083333336,1758.1066626733889,52457.848958333336,70.66666666666667,ok
eggholder_pilot_k5_v3_candidate_0009_20260510_142653,0009,eggholder,4,52015.653645833336,4880.386447380628,52696.75390625,68.66666666666667,ok
eggholder_pilot_k5_l3_v1_candidate_0002_20260510_145444,0002,eggholder,3,52174.322916666664,5860.963534958994,52668.201822916664,78.0,ok
eggholder_pilot_k5_v2_candidate_0004_20260510_104720,0004,eggholder,4,52409.75,4994.906991039099,52701.395833333336,82.33333333333333,ok
eggholder_pilot_k5_l3_v2_candidate_0010_20260511_100456,0010,eggholder,3,52685.11328125,6825.452774762678,53240.067708333336,77.33333333333333,ok
eggholder_pilot_k5_l3_v2_candidate_0004_20260511_093431,0004,eggholder,3,52883.65234375,2301.4318640418333,53169.09765625,82.33333333333333,ok
eggholder_pilot_k5_l3_v2_candidate_0012_20260511_101503,0012,eggholder,3,52910.477864583336,11132.456056083967,53435.11328125,77.66666666666667,ok
eggholder_pilot_k5_l3_v2_candidate_0016_20260511_103406,0016,eggholder,3,52952.717447916664,4117.876379313561,53310.907552083336,88.0,ok
eggholder_llm_k5_l4_canonical_v1_candidate_0009_20260513_092324,0009,eggholder,4,53173.8046875,11078.07083012796,53366.833333333336,74.33333333333333,ok
