experiment_name,run_uuid,run_name,status,function,model_arch,n_params,best_val_loss,final_test_loss,hessian_trace,critical_sharpness,grad_cosine_sim,grad_noise_scale,train_per_param
sweep-franke-v3-ratio,5eea6b6507f844efa1ce9863ec1a4e34,trial021_siren_h20_l3_w29_lr8.7e-05_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,921.0,0.0001251939538633451,0.0001288044877583161,2316.5341796875,0.0007163850004344367,0.6718407869338989,2.9056147954454956e-05,8.686210640608035
sweep-peaks-v3-ratio,5f31eec4544d4987bb5519e1d0e83cfa,trial063_siren_h20_l3_w19_lr4.8e-05_bs64,FINISHED,peaks_n20000_k3_ss5_seed42_train,siren,921.0,0.0040504117496311665,0.004064710810780525,45620.35546875,0.0017384969895884107,-0.0732848197221756,0.007053120576998769,8.686210640608035
sweep-bukin-v3-ratio,608ca27e13bc4dd4a50833dd14b34c57,trial105_fourier_h12_b1_f12_s4.1_lr1.2e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,625.0,338.4541320800781,376.98834228515625,400182.875,0.08215579259284303,-0.08134974539279938,8673.098785878923,12.8
sweep-bukin-v3-ratio,60b02b86f9cc4f65959e2655f6823ea2,trial148_fourier_h12_b1_f16_s4.7_lr2.1e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,721.0,41.97150802612305,49.215633392333984,142883.9375,0.09628142714557637,-0.8039999008178711,1692.075883195687,11.095700416088766
sweep-bukin-v3-ratio,60ebccd3703a433fbd5b3e68b0df6b01,trial163_fourier_h12_b1_f16_s1.0_lr2.7e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,721.0,21.0725040435791,51.13236999511719,486517.34375,0.047420414643726636,0.8707077503204346,1818.072106760708,11.095700416088766
sweep-levy-v3-ratio,62046443663842209277ef2941abe5ad,trial062_fourier_h12_b2_f16_s1.1_lr6.7e-03_bs256,FINISHED,levy_n20000_k3_ss6_seed42_train,fourier,1033.0,0.642681896686554,0.691666841506958,18113.34765625,0.017555915605079506,0.7240518927574158,0.47754667572779785,7.744433688286544
sweep-bukin-v3-ratio,6213dbc2004b48909bbee1067b834526,trial003_fourier_h12_b2_f8_s3.6_lr3.1e-04_bs128,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,841.0,528.7462158203125,536.1644897460938,766143.5625,0.05871844457047617,0.08769185841083527,7308.213896043871,9.512485136741974
sweep-franke-v3-ratio,631c0e7c86b343b7a4fd252c165dab9b,trial138_siren_h16_l3_w15_lr1.1e-04_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,609.0,9.713839244795963e-05,0.00010208238381892443,1342.3297119140625,0.0008746683906515932,-0.31713250279426575,0.0206847843049429,13.136288998357964
sweep-levy-v3-ratio,63aa9d76a36d4539b57c9bb4b6519449,trial056_fourier_h12_b2_f32_s27.4_lr1.6e-02_bs256,FINISHED,levy_n20000_k3_ss6_seed42_train,fourier,1417.0,252.00057983398438,349.7185363769531,9035.822265625,0.8132887135545841,0.008507110178470612,19.844532845620133,5.6457304163726185
sweep-peaks-v3-ratio,63b05b1fb2314011b2caed214f046b27,trial042_siren_h20_l3_w23_lr4.0e-05_bs128,FINISHED,peaks_n20000_k3_ss5_seed42_train,siren,921.0,0.004050418268889189,0.00408500200137496,72167.4296875,0.001984462188953118,0.32201406359672546,0.0050385538626373785,8.686210640608035
sweep-bukin-v3-ratio,647ebb003ba54f0bb50df4c072ec40ae,trial179_fourier_h12_b1_f16_s1.8_lr3.0e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,721.0,44.78688049316406,64.34707641601562,47861.95703125,0.025153415677473326,-0.1999153196811676,2621.1079901607795,11.095700416088766
sweep-franke-v3-ratio,6489b9c0f78a4da5964a62c20b2564a3,trial160_siren_h16_l3_w16_lr2.9e-05_bs64,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,609.0,9.918612340698019e-05,9.347707964479923e-05,1183.9144287109375,0.0009661859920235226,-0.3590749204158783,0.0006147055017187217,13.136288998357964
sweep-bukin-v3-ratio,65efb8c9991c496b8f970a0f068b4d21,trial041_fourier_h16_b0_f16_s26.8_lr1.6e-02_bs32,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,545.0,2193.512451171875,2220.135009765625,9781.001953125,4.862625666209702,0.23041382431983948,2286.6069216628152,14.678899082568808
sweep-eggholder-v3-ratio,674337c2daad4715a2a278179cccbfcd,trial106_mlp_h12_b2_relu_lr2.3e-03_bs64,FINISHED,eggholder_n20000_k3_ss7_seed42_train,mlp,673.0,19644.01171875,18895.685546875,245851136.0,0.03439502910747739,0.2739606201648712,264432764.02018,11.887072808320951
sweep-franke-v3-ratio,674a9f5fd5ea457889116c697d2c863f,trial081_siren_h20_l3_w10_lr1.7e-04_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,921.0,0.00010326237679691985,0.00010750050569185987,2663.271728515625,0.0011588179913059188,0.12717796862125397,7.4412895942861035e-06,8.686210640608035
sweep-franke-v3-ratio,6859e7238c254fa688967d595e6d8ac8,trial069_mlp_h12_b4_gelu_lr8.7e-03_bs32,FINISHED,franke_n20000_k3_ss4_seed42_train,mlp,1297.0,0.0001223008439410478,0.00015814497601240873,5.0693745613098145,0.010031354473428542,-0.5620802044868469,2.479268641432619e-07,6.168080185042405
sweep-franke-v3-ratio,69029ffa2ada402bbecbf7edeadcc780,trial028_siren_h24_l3_w41_lr1.2e-04_bs32,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,1297.0,0.00015014753444120288,0.0001662775466684252,2183.18115234375,0.00336132440098279,0.014949849806725979,1.5398613406685896e-05,6.168080185042405
sweep-bukin-v3-ratio,6a6f807f1c0647f3af90f8bc125b82e7,trial117_fourier_h12_b1_f12_s1.7_lr2.9e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,625.0,248.6113739013672,250.56179809570312,341632.84375,0.035686768561251886,0.5475106239318848,8395.59410255292,12.8
sweep-franke-v3-ratio,6a98eaa2a1a149cf857a4b509e0bbb73,trial000_siren_h28_l2_w19_lr2.3e-05_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,925.0,9.155257430393249e-05,9.148044773610309e-05,4574.0146484375,0.0007446616666828089,0.49366915225982666,4.379587130898637e-06,8.64864864864865
sweep-eggholder-v3-ratio,6ab05ba1403f42e39abdfe04f208bbef,trial155_mlp_h12_b2_relu_lr3.4e-03_bs64,FINISHED,eggholder_n20000_k3_ss7_seed42_train,mlp,673.0,18309.15234375,18082.052734375,213221536.0,0.0295474057471351,0.19729048013687134,228558319.18448523,11.887072808320951
sweep-bukin-v3-ratio,6ad7790fbf51458198e4350aa377111b,trial001_siren_h28_l2_w19_lr2.3e-05_bs128,FINISHED,bukin_n20000_k3_ss8_seed42_train,siren,925.0,100246.015625,99177.0234375,56337360.0,1.5250670933663926,0.9999983310699463,12195.146648134945,8.64864864864865
sweep-eggholder-v3-ratio,6aebeb9f90b24ee1b36bc22b48a7fc7e,trial094_mlp_h12_b2_relu_lr2.7e-03_bs64,FINISHED,eggholder_n20000_k3_ss7_seed42_train,mlp,673.0,27737.302734375,27518.42578125,72963552.0,0.05245474980151245,-0.02850775234401226,146866356.09756273,11.887072808320951
sweep-bukin-v3-ratio,6c3cf401f42f420a9231b9c105409dbc,trial083_fourier_h12_b1_f12_s10.5_lr3.7e-03_bs256,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,625.0,318.2627868652344,342.01556396484375,501029.71875,0.2165185044317901,-0.20067204535007477,1858.3522582821772,12.8
sweep-franke-v3-ratio,6e32d392f81e4a7b8e1e96c7ef26e101,trial083_siren_h20_l3_w15_lr2.3e-04_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,921.0,0.0001014238441712223,9.842571307672188e-05,790.4187622070312,0.0013029656903087296,0.21780729293823242,9.148311762844674e-06,8.686210640608035
sweep-ackley-v3-ratio,6eacc037038148caa2c3e893e8928f36,trial005_fourier_h32_b0_f12_s28.3_lr6.3e-04_bs128,FINISHED,ackley_n20000_k3_ss5_seed42_train,fourier,833.0,6.350452899932861,6.8937225341796875,154.70355224609375,0.43471166157599483,0.3062678873538971,0.018689554240280952,9.603841536614645
